inchi_key	compound_name	rt_max	rt_min	rt_peak	rt_units	detected_polarity	mz	mz_tolerance	mz_tolerance_units	mono_isotopic_molecular_weight	pubchem_compound_id	synonyms	inchi	adduct	label	ms1_notes	ms2_notes	identification_notes
LCMZECCEEOQWLQ-UHFFFAOYSA-N	ABMBA (unlabeled)	1.393806323	0.793806323	1.093806323	min	positive	229.9811	5	ppm	228.9738406	2774400	2-Amino-3-bromo-5-methylbenzoic acid///13091-43-5///3-Bromo-5-methylanthranilic acid///6-Amino-5-bromo-m-toluic acid///LCMZECCEEOQWLQ-UHFFFAOYSA-N///SBB005907///2-amino-3-bromo-5-methyl-benzoic Acid///AC1MCODS///ACMC-20ao5e///AC1Q2HGP///AC1Q2HGQ///SCHEMBL698960///631531_ALDRICH///CTK3J6348///4-Amino-3-bromo-5-carboxytoluene///ZINC152810///2-Bromo-6-carboxy-4-methylaniline///ACT04615///STR03467///MFCD00051705///AKOS002664933///MCULE-6085852807///RP05514///TRA0049829///VZ23558///AJ-12816///AK-57492///FS000849///KB-19698///OR024150///OR121617///2-azanyl-3-bromanyl-5-methyl-benzoic acid///DB-041993///ST2416346///FT-0611048///ST50320268///X8021///EN300-80722///A-8613///A806166///W-205332///I14-38747	"InChI=1S/C8H8BrNO2/c1-4-2-5(8(11)12)7(10)6(9)3-4/h2-3H,10H2,1H3,(H,11,12)"	[M+H]+	ABMBA (unlabeled)	nan	nan	nan
DFPAKSUCGFBDDF-IDEBNGHGSA-N	nicotinamide (U - 13C)	1.446589137	0.846589137	1.146589137	min	positive	129.0754185	5	ppm	128.0681419			"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)/i1+1,2+1,3+1,4+1,5+1,6+1"	[M+H]+	nicotinamide (U - 13C)	nan	nan	nan
DFPAKSUCGFBDDF-UHFFFAOYSA-N	nicotinamide (unlabeled)	1.446589137	0.846589137	1.146589137	min	positive	123.0552865	5	ppm	122.0480128	936	"nicotinamide///niacinamide///3-Pyridinecarboxamide///98-92-0///vitamin PP///Nicotinic acid amide///pyridine-3-carboxamide///Aminicotin///Amixicotyn///Papulex///Nicotylamide///Endobion///Hansamid///Nicobion///Savacotyl///Benicot///Dipegyl///Pelmine///Nicotinic amide///Delonin amide///Pelonin amide///Austrovit PP///Vi-Nicotyl///Inovitan PP///Amnicotin///Nicamindon///Nicomidol///Nicosylamide///Nicotamide///Nicotilamide///Nicotililamido///Nicovitina///Nicovitol///Nicozymin///Nikotinamid///Niocinamide///Niacevit///Niamide///Nicamina///Nicasir///Nicogen///Nicotol///Nicovit///Niozymin///Nicota///Niko-tamin///3-Carbamoylpyridine///Nandervit-N///Nicotine acid amide///Mediatric///Niavit PP///Pyridine-3-carboxylic acid amide///Nicosan 2///Vitamin B///Nicotinamidum///Nicotylamidum///Nicotinsaureamid///Nicotine amide///Nikotinsaeureamid///Factor pp///beta-Pyridinecarboxamide///Pelmin///Pyridine, 3-carbamoyl-///m-(Aminocarbonyl)pyridine///Witamina PP///PP-Faktor///3-Pyridinecarboxylic acid amide///Amide PP///Nicotinamida///Nicovel///Acid amide///Amid kyseliny nikotinove///Nictoamide///Vitamin B (VAN)///Vi-noctyl///Nicotinsaureamid [German]///Nikotinsaeureamid [German]///Amid kyseliny nikotinove [Czech]///Nicotinamidum [INN-Latin]///b-Pyridinecarboxamide///Nicotinamida [INN-Spanish]///Niacinamide [USAN]///C6H6N2O///Niacotinamide///Nicotinamid///CCRIS 1901///HSDB 1237///Nicotinsaeureamid///.beta.-Pyridinecarboxamide///Nicotinamide (Niacinamide)///AI3-02906///CHEMBL1140///NSC 13128///Niacinamide (USP)///UNII-25X51I8RD4///DEA No. 1405///S1899_Selleck///CHEBI:17154///niacin - Vitamin B3///1yc5///NSC13128///AC1L1ACZ///AC1Q4ZFV///EINECS 202-713-4///3-(aminocarbonyl)pyridine///Nicotinamide-carbonyl-14C///WLN: T6NJ CVZ///bmse000281///MolMap_000061///NCGC00093354-03///47865U_SUPELCO///N0636_SIGMA///N2142_SIGMA///N3376_SIGMA///MLS000069714///N5535_SIAL///SGCUT00176///72340_FLUKA///72340_SIGMA///72347_FLUKA///Nicotinamide, niacin, vitamin B3///DFPAKSUCGFBDDF-UHFFFAOYSA-N///BB_NC-2290///HMS2052M21///HMS2090B05///HMS2093H03///NSC27452///to_000073///ZINC00005878///DB02701///LS-2051///NCGC00093354-04///NCGC00093354-05///CPD000058212///SAM001246860///SMR000058212///DSSTox_CID_929///N0078///C00153///D00036///Niacinamide, Nicotinic acid amide, Nicotinamide///DSSTox_RID_75873///DSSTox_GSID_20929///AC-907/25014114///Nicotinamide-(amide-15N)///I02-1741///I02-2250///Enduramide///A186B02E-6C70-4E54-9739-79398D439AAA///Nikasan///Nikazan///InChI=1/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9///CAS-98-92-0///123574-63-0///37321-14-5///78731-47-2///B3, Vitamin///Vitamin B 3///B 3, Vitamin///3 Pyridinecarboxamide///Niacinamide Astra Brand///Niacinamide Merck Brand///Nicotinsaureamid Jenapharm///Astra Brand of Niacinamide///Jenapharm, Nicotinsaureamid///Merck Brand of Niacinamide///Niacinamide Jenapharm Brand///Niacinamide Pharmagenix Brand///nicotin-amide///Jenapharm Brand of Niacinamide///CID936///3-Amidopyridine///Pharmagenix Brand of Niacinamide///Pure Vita White///Cell Renew Bio///Dht X Hairloss///Ts (talmostop)///Barox White Golf///White Vita Floral///Ginseng Royal Silk///Dht X Scalp T///EINECS 234-265-0///Mineral Homme White///Niacinamide 100mg///Niacinamide 500mg///nchembio.73-comp6///V V Vitalizing Eye///Skederm Ultimate Eye///ACMC-20aizz///Niacinamide 500 mg///Ultra Waterfall Cream///Cell Renew Bio Toner///Snail Gold Hydro Lip///V V Vitalizing Serum///nchembio.154-comp4///Greentinol Multi Toner///Pure White Brightening///A.H.C. C-cream///A.H.C. C-serum///A.H.C. C-toner///Mediatric (Salt/Mix)///Dr. Color Effect Red///Nicotamine Tab 500mg///Saccharomyces The First///Dr Cellinme Mask Sheet///Ts (talmostop) Talhwan///Niacinamide Tab 100mg///Niacinamide Tab 500mg///White Vita Floral Toner///Niacinamide-S Tab 50mg///Ginseng Royal Silk Toner///Vitamin B3 Tab 500mg///Mineral Homme White Toner///Stem Cell Whitening Serum///Vita-acinamid Cap 500mg///Bha Blackhead Power Liquid///Niacinamide 500mg - Tab///Niacinamide Inj 100mg/ml///Ts (talmostop) Hair Tonic///SCHEMBL2926///Nicotinamide (JP15/INN)///Nicotinamide (JP16/INN)///Saccharomyces The First Eye///D009536///It Radiant Brightening Toner///Niacinamide 100 Mg Tablets///Pure White Brightening Toner///Vita C 35 Tone Up Ampule///Capture C-brightening Ampoule///KSC237G2T///MLS001424246///Primerose Snail Hydro Essence///Multi Vita 10 Sleeping Pack///Dr Cellinme Skin Care Ampoule///Niacinamide 500 Tab 500mg///Pure White Brightening Essence///Revital Perfecting Dual Ampoule///SCHEMBL6278767///ZINC5878///Niacinamide 100mg USP - Tab///Niacinamide;Nicotinic acid amide///Ahc Whitening Special Gen Cream///Ahc Whitening Special Gen Serum///BDBM27507///HMDB01406///Tonymoly Pandas Dream White Hand///25X51I8RD4///HMS2236J03///HMS3370F21///HMS3394M21///Pharmakon1600-01505397///Ahc Revitalizing Special Gen Cream///Ahc Whitening Special Gen Solution///Ala-C Snail Cell Reparing Essence///Niacinamide Tab 100mg Yeast Free///Snail Essential EX Wrinkle Essence///HY-B0150///Tox21_111202///Tox21_201716///Tox21_302776///ANW-75549///BBL013003///Bellaskin Brightening Contour Essence///DAP001410///MFCD00006395///NSC-13128///NSC-27452///NSC759115///SBB004283///STL163867///White Vita Floral Essence Brightening///AKOS005715850///Gem Miracle Black Pearl O2 Whitening///Niveola P.H.c 3d Festival Mask Pack///Tox21_111202_1///Aqua Collagen Multi Vitamin Hydro Mask///CCG-101149///CS-1968///CS-O-30679///MCULE-3532732201///NC00399///NSC-759115///RP18130///TRA0056599///Bk Cell 5days Of Secret Snow Whitening///Neogen Dermalogy Real Fresh Foam Cereal///NCGC00093354-06///NCGC00093354-09///NCGC00256432-01///NCGC00259265-01///Niveola White Tiger 3d Animal Mask Pack///11032-50-1///55600-01-6///63748-44-7///AJ-08256///AK112769///AN-24499///BC676662///BT000119///HE020733///HE297706///HE420940///K774///KB-58326///SC-18039///ZB000620///Neogen Dermalogy Real Fresh Foam Cranberry///Nicotinamide-Supplied by Selleck Chemicals///AB2000359///DB-057754///Gem Miracle Black Pearl O2 Whitening Toner///KB-118591///Neogen Dermalogy Real Fresh Foam Green Tea///ST2419748///TC-066615///FT-0631517///FT-0672696///N1651///ST51037366///Tonymoly Naturalth Goat Milk Whitening Toner///EN300-15612///3418-EP2281816A1///3418-EP2281818A1///3418-EP2285778A1///3418-EP2287165A2///3418-EP2295424A1///3418-EP2307377A1///3418-EP2307378A1///3418-EP2308858A1///3418-EP2308874A1///3418-EP2311808A1///3418-EP2311829A1///J10422///Tonymoly Naturalth Goat Milk Whitening Essence///W-3583///11783-EP2269610A2///11783-EP2289510A1///11783-EP2316457A1///11783-EP2316458A1///11783-EP2316825A1///11783-EP2316826A1///11783-EP2316827A1///11783-EP2316828A1///AB00373895-13///Chaga Anti Wrinkle With Fermented Chaga Extract///Gem Miracle Black Pearl O2 Whitening Snow Serum///Manefit Beauty Planner Lily Whitening Eye Patch///Manefit Bling Bling Wrinkle Gold Hydro Gel Mask///A845925///Chaga Anti Wrinkle Eye With Fermented Chaga Extract///Manefit Bling Bling Whitening Platinum Hydrogel Mask///Q-201470///T6646805///Chaga Anti Wrinkle Skin With Fermented Chaga Extract///Manefit Beauty Planner Lily Whitening Brightening Mask///F2173-0513///1255150-40-3"	"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)"	[M+H]+	nicotinamide (unlabeled)	nan	nan	nan
RWQNBRDOKXIBIV-BNUYUSEDSA-N	"thymine (U - 13C, 15N)"	1.555231064	0.955231064	1.255231064	min	positive	134.06104	5	ppm	133.0537714			"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)/i1+1,2+1,3+1,4+1,5+1,6+1,7+1"	[M+H]+	"thymine (U - 13C, 15N)"	nan	nan	nan
RWQNBRDOKXIBIV-UHFFFAOYSA-N	thymine (unlabeled)	1.555231064	0.955231064	1.255231064	min	positive	127.0502	5	ppm	126.0429274	1135	"thymine///5-methyluracil///65-71-4///Thymin///2,4-Dihydroxy-5-methylpyrimidine///2,4(1H,3H)-Pyrimidinedione, 5-methyl-///5-methylpyrimidine-2,4(1H,3H)-dione///5-methyl-2,4(1H,3H)-pyrimidinedione///Thymin (purine base)///5-Methyl Uracil///5-Methylpyrimidine-2,4-dione///5-Methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione///5-methyl-1H-pyrimidine-2,4-dione///CCRIS 5584///CHEBI:17821///5-Methyl-2,4-dihydroxypyrimidine///NSC14705///CHEMBL993///4-Hydroxy-5-methylpyrimidin-2(1H)-one///AI3-25479///RWQNBRDOKXIBIV-UHFFFAOYSA-N///EINECS 200-616-1///NSC 14705///3059-73-2///5-methyl-1,3-dihydropyrimidine-2,4-dione///Thymine-t///5-methyl-uracil///Thymine (VAN)///(3H)Methylthymidine///Methyl-3H thymidine///Thymine (8CI)///PubChem9313///Thymine-2-14C///AC1L1ASZ///5-methy uracil(Thymine)///UNII-QR26YLT7LT///ACMC-1BI1O///QR26YLT7LT///Epitope ID:167476///Thymine (VAN) (8CI)///AC1Q2QH4///SCHEMBL5235///DSSTox_CID_30914///DSSTox_GSID_52342///5-methylpyrimidine-2,4-diol///KSC492E2J///T0376_SIGMA///T0895_SIGMA///T1033_SIGMA///T9019_SIGMA"	"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"	[M+H]+	thymine (unlabeled)	nan	nan	nan
ISAKRJDGNUQOIC-IDEBNGHGSA-N	"uracil (U - 13C, 15N)"	1.693699506	1.093699506	1.393699506	min	positive	119.04204	5	ppm	118.0347665			"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)/i1+1,2+1,3+1,4+1,5+1,6+1"	[M+H]+	"uracil (U - 13C, 15N)"	nan	nan	nan
ISAKRJDGNUQOIC-UHFFFAOYSA-N	uracil (unlabeled)	1.693699506	1.093699506	1.393699506	min	positive	113.03455	5	ppm	112.0272774	1174	"uracil///66-22-8///2,4-Dihydroxypyrimidine///2,4-Pyrimidinediol///2,4(1H,3H)-Pyrimidinedione///2,4-Dioxopyrimidine///pyrimidine-2,4(1H,3H)-dione///2,4-Pyrimidinedione///Pirod///Pyrod///Hybar X///pyrimidine-2,4-diol///1H-Pyrimidine-2,4-dione///RU 12709///Ura///pyrimidinedione///Urazil///Uracil [USAN]///C4H4N2O2///CCRIS 3077///51953-14-1///CHEBI:17568///AI3-25470///NSC 3970///UNII-56HH86ZVCT///SQ 6201///SQ 7726///SQ 8493///1,2,3,4-tetrahydropyrimidine-2,4-dione///BMS 205603-01///2-Hydroxy-4(1H)-pyrimidinone///2-Hydroxy-4(3H)-pyrimidinone///4-Hydroxy-2(1H)-pyrimidinone///NSC3970///ISAKRJDGNUQOIC-UHFFFAOYSA-N///4(3H)-Pyrimidinone, 2-hydroxy-///EINECS 200-621-9///MFCD00006016///Uracil-5-d///NCGC00181030-01///DSSTox_CID_1424///DSSTox_RID_76153///DSSTox_GSID_21424///144104-68-7///66255-05-8///AC-907/30002021///CAS-66-22-8///51953-19-6///51953-20-9///66224-60-0///766-19-8///24897-50-5///Uracyl///4-Hydroxyuracil///2,4(1H,3H)-PYRIMIDINEDIONE-2-13C-1,3-15N2(9CI)///dihydroxypyrimidine///2,4-Dioxypyrimidine///Uracil (8CI)///Dihydropyrimidine-dione///PubChem14135///Uracil-2-14C///1ui0///Uracil (JAN/USAN)///2,3H)-Pyrimidinedione///2,6-Dihydroxypyrimidine///2-oxy-4-oxy pyrimidine///AC1Q6GOT///(1H,3H)-pyrimidinedione///ACMC-1AS5O///ACMC-1C4TI///bmse000187///bmse000940///CHEMBL566///Epitope ID:120356///NCIMech_000782///AC1L1AW5///AC1Q1GU8///SCHEMBL8235///dihydropyrimidine-2,4-dione///56HH86ZVCT///2 -Pyrimidinone,6-hydroxy-///2,4-Pyrimidinediol (9CI)///4 -Pyrimidinone,2-hydroxy-///KSC352S4R///MLS001304993///U0750_SIGMA///U1128_SIGMA///U3879_SIGMA///GTPL4560///Pyrimidine-2,4-diol / Uracil///CTK1G3699///CTK1G8296///CTK1I0613///CTK1J5004///CTK2F2948///HMDB00300///URACIL, ANHYDROUS, CRYST.///1,3-dihydropyrimidine-2,4-dione///BB_NC-2210///HMS2234E19///HMS3264C13///HMS3373E18///Pharmakon1600-01502345///ZINC895045///2(1H)-Pyrimidinone, 4-hydroxy-///2(1H)-Pyrimidinone, 6-hydroxy-///NSC-3970///NSC29742///Tox21_112680///Tox21_201023///ANW-31373///ANW-35165///AR-1L7967///BBL004237///CCG-35866///NSC-29742///NSC759649///SBB058492///STK301734///STL124066///ZINC00895045///AKOS000119989///AKOS002303991///Tox21_112680_1///AM83913///CCG-213042///CS19249///DB03419///LS-7748///MCULE-1147953020///NSC-759649///PS-5279///RP18951///SQ-6201///SQ-7726///SQ-8493///2,4(1H,3H)-Pyrimidinedione (9CI)///NCGC00181030-02///NCGC00247663-01///NCGC00258576-01///4CN-0756///AJ-24138///AK-77552///AK-86824///AN-23751///BT000109///CJ-04447///HE017374///HE263738///HE263739///HE280242///HE376820///HE376821///HE376822///HE399259///NCI60_003718///SC-09054///SC-29470///SMR000752912///TL806199///ZB014964///4(1H)-Pyrimidinone, 2-hydroxy- (9CI)///4(3H)-Pyrimidinone, 2-hydroxy- (9CI)///BMS-205603-01///AB0008404///DB-030518///KB-164798///KB-165099///KB-165106///KB-218995///TC-120118///BB 0242167///FT-0609769///FT-0694063///ST45061548///U0013///4177-EP2270010A1///4177-EP2270015A1///4177-EP2272832A1///4177-EP2275420A1///4177-EP2281563A1///4177-EP2287152A2///4177-EP2292593A2///4177-EP2295055A2///4177-EP2295408A1///4177-EP2295414A1///4177-EP2295416A2///4177-EP2295434A2///4177-EP2295441A2///4177-EP2295503A1///4177-EP2298748A2///4177-EP2298764A1///4177-EP2298765A1///4177-EP2298778A1///4177-EP2298783A1///4177-EP2303848A2///4177-EP2305219A1///4177-EP2305642A2///4177-EP2305684A1///4177-EP2305808A1///4177-EP2305825A1///4177-EP2311453A1///4177-EP2311815A1///4177-EP2311842A2///4177-EP2316459A1///C00106///D00027///M-6157///X-2151///AB00918623-05///142257-EP2272848A1///142257-EP2292593A2///A835376///I03-0056///2,4(1H,3H)-PYRIMIDINEDIONE,LABELED WITH TRITIUM///F1796-0008///E2FC11E5-1887-46DF-B415-82313CE9B2BD///S4177,66-22-8///InChI=1/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8///138285-60-6///153445-42-2///42910-77-0///4433-21-0///4433-24-3"	"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"	[M+H]+	uracil (unlabeled)	nan	nan	nan
GFFGJBXGBJISGV-CIKZIQIKSA-N	adenine (U - 15N)	2.977601998	2.377601998	2.677601998	min	positive	141.04694	5	ppm	140.0396697			"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)/i6+1,7+1,8+1,9+1,10+1"	[M+H]+	adenine (U - 15N)	nan	nan	nan
GFFGJBXGBJISGV-UHFFFAOYSA-N	adenine (unlabeled)	2.977601998	2.377601998	2.677601998	min	positive	136.06177	5	ppm	135.0544952	190	"adenine///6-Aminopurine///1H-Purin-6-amine///73-24-5///9H-Purin-6-amine///7H-Purin-6-amine///Adenin///Vitamin B4///Adeninimine///Leuco-4///6-Amino-1H-purine///6-Amino-3H-purine///6-Amino-7H-purine///6-Amino-9H-purine///Purine, 6-amino-///1,6-Dihydro-6-iminopurine///3,6-Dihydro-6-iminopurine///USAF CB-18///1H-Purine, 6-amino///ADE///Pedatisectine B///9H-Purine, 1,6-dihydro-6-imino-///Adenine [JAN]///1H-Purine-6-amine///9H-purin-6-ylamine///9H-Purine-6-amine///CCRIS 2556///adenine-ring///CHEBI:16708///1H-Purine, 6-amino-///AI3-50679///1jys///1nli///1wei///2pqj///6-amino-Purine///3H-PURIN-6-AMINE///NSC 14666///purine, 6///Vitamin-?B4///Leucon (TN)///Adenine (8CI)///CHEMBL226345///Adenine-8-14C///Adenine (JAN/USP)///9H-Purin-6-yl-amin///Spectrum_001106///2p8n///SpecPlus_000535///ALBB-005925///Spectrum2_000583///Spectrum3_000616///Spectrum4_001891///Spectrum5_000542///EINECS 200-796-1///bmse000060///3H-Purin-6(7H)-imine///1,6-Dihydro-6-Imnopurine///AC1L18OI///AC1Q52XT///Oprea1_057274///NCGC00094856-01///BSPBio_002152///KBioGR_002447///KBioGR_002562///KBioSS_001586///KBioSS_002571///1H-Purin-6-amine (9CI)///A2426_SIGMA///A2786_SIGMA///A5665_SIGMA///A8626_SIGMA///DivK1c_006631///SPBio_000426///SPECTRUM1500807///UNII-JAC85A2161///MLS001066342///AC1Q52Y5///C5H5N5///STOCK1N-48520///KBio1_001575///KBio2_001586///KBio2_002562///KBio2_004154///KBio2_005130///KBio2_006722///KBio2_007698///KBio3_001652///KBio3_003040///purine-6-ylamine///cMAP_000085///GFFGJBXGBJISGV-UHFFFAOYSA-N///HMS1921I14///HMS2092K20///6H-Purin-6-imine,1,9-dihydro-///NSC14666///WLN: T56 BM DN FN HNJ IZ///STK387542///ZINC00000882///AKOS000118903///66224-65-5///AC-2028///DB00173///SDCCGMLS-0066584.P001///NCGC00094856-02///NCGC00094856-03///LS-15058///NCI60_000998///SMR000471871///TL806440///AB1004094///TL8005091///A0149///FT-0082877///DSSTox_CID_2557///2'-DEOXY-ADENOSINE-3'-5'-DIPHOSPHATE///C00147///D00034///DSSTox_RID_76627///DSSTox_GSID_22557///Adenine-1,3-15N2///5426-35-7///66224-66-6///71660-29-2///71660-30-5///I06-0527///I07-0071///I14-7794///6379C0E0-C1BB-4087-96C5-1DE281B8EA4C///CAS-73-24-5///InChI=1/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10///22051-90-7///42911-33-1///42911-34-2///520-75-2///66224-68-8///AD2///ANE///Vitamin B 4///4, Vitamin B///B 4, Vitamin///CID190///6-amino purine///3kpv///[3H]adenine///Adenine, 1///3H-purin-6-ylamine///7H-purin-6-ylamine///PubChem9587///Adenine [USP:JAN]///PubChem14133///9H-Purin-6-yl-amine///9H-Purin-6-amine #///6-Aminopurine (Adenine)///nchembio.186-comp107///1H-purin-6(9H)-imine///3H-purin-6(9H)-imine///bmse000861///bmse000995///Epitope ID:140097///SCHEMBL8110///6-Aminopurine; Vitamin B4///ACMC-1BC21///D000225///US9138393, Adenine///US9144538, Adenine///ZINC882///KSC375M3B///3H-Purin-6-amine (9CI)///7H-Purin-6-amine (9CI)///9H-Purin-6-amine (9CI)///nchembio.2007.56-comp15///GTPL4788///9H-Purine,6-dihydro-6-imino-///BDBM33218///CTK1I0610///CTK1I0611///CTK2H5630///CTK2H5631///CTK8C4706///CTK8J9100///CTK8J9101///CTK8J9102///HMDB00034///BCPP000433///BDBM181146///HMS2269I04///JAC85A2161///Pharmakon1600-01500807///6H-Purin-6-imine,1,7-dihydro-///HY-B0152///6H-Purin-6-imine, 1,9-dihydro-///Tox21_111348///Tox21_302108///ANW-36312///ANW-72859///BBL007925///CA0118///CCG-38506///DAP000982///HTS027705///MFCD00041790///NSC-14666///NSC757793///SBB017528///AKOS005171607///AKOS016000265///Tox21_111348_1///6H-Purin-6-imine,1,7-dihydro-, -///6H-Purin-6-imine,1,9-dihydro-, -///AM83908///BCP9000233///CS-1984///MCULE-6556342774///NSC-757793///RP17323///NCGC00094856-05///NCGC00255120-01///AJ-07930///AK-96693///AK313612///AK436340///AN-14387///BL008313///BT000136///CJ-00019///HE246253///HE246260///HE250702///HE319789///HE384070///HE384071///KB-46998///NU000108///ZB000195///AB1009319///DB-013503///KB-199046///KB-249881///ST2408921///TC-161604///TR-023809///FT-0620943///FT-0656198///FT-0659112///ST50298870///T6972///4175-EP2270010A1///4175-EP2270015A1///4175-EP2270505A1///4175-EP2272517A1///4175-EP2275404A1///4175-EP2292088A1///4175-EP2292593A2///4175-EP2295441A2///4175-EP2295503A1///4175-EP2295550A2///4175-EP2298783A1///4175-EP2301536A1///4175-EP2301538A1///4175-EP2303884A1///4175-EP2305250A1///4175-EP2305808A1///4175-EP2311455A1///4175-EP2316452A1///C-4677///AB00052833-18///AB00052833-19///6-Aminopurine hemisulfate salt; Adenine sulfate salt///Q-200595///T7106651///W-106856///I14-23800///F0001-1848///ADENINE  2-FLUORO-9-E_-D-XYLOFURANOSYL-  2' 3' 5'-TRIACETATE///1000264-10-7///134434-48-3///134434-49-4///134454-76-5///66224-67-7///66224-69-9"	"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"	[M+H]+	adenine (unlabeled)	nan	nan	nan
FDGQSTZJBFJUBT-NNZQUYKOSA-N	hypoxanthine (U - 15N)	3.402967341	2.802967341	3.102967341	min	positive	141.03392	5	ppm	140.0266503			"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)/i6+1,7+1,8+1,9+1"	[M+H]+	hypoxanthine (U - 15N)	nan	nan	nan
